PermitType,PermitTypeDesc,PermitNum,PermitClass,WorkClass,Condominium,ProjectName,Description,TCAD_ID,PropertyLegalDescription,AppliedDate,IssuedDate,DayIssued,CalendarYearIssued,FiscalYearIssued,IssuedInLast30Days,IssuanceMethod,StatusCurrent,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,RemodelRepairSQFT,TotalNewAddSQFT,TotalValuationRemodel,TotalJobValuation,NumberOfFloors,HousingUnits,BuildingValuation,BuildingValuationRemodel,ElectricalValuation,ElectricalValuationRemodel,MechanicalValuation,MechanicalValuationRemodel,PlumbingValuation,PlumbingValuationRemodel,MedGasValuation,MedGasValuationRemodel,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,CouncilDistrict,Jurisdiction,Link,ProjectID,Latitude,Longitude,Location
MP,Mechanical Permit,2017-139858 MP,R- 101 Single Family Houses,New,No,7415 MERRICK LN,7415  New 2story Condominium Residence with attached garage covered porch and wood deck  CONDOMINIUM RESIDENCE,0431081001,,2016/10/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,2883,,,2,1,,,,,,,,,,,7415 MERRICK LN,AUSTIN,TX,78745,2,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11818695,11818695,30.18462406,-97.78357433,"(30.18462406, -97.78357433)"
EP,Electrical Permit,2017-138171 EP,R- 102 Secondary Apartment,New,No,2009 GARDEN ST BLDG 2,new 22 2 story secondary apt,0202082301,,2017/06/16,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/06/26,,,,1551,,,2,1,,,,,,,,,,,2009 GARDEN ST BLDG 2,AUSTIN,TX,78702,3,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11816783,11816783,30.25346579,-97.72396511,"(30.25346579, -97.72396511)"
PP,Plumbing Permit,2017-136235 PP,R- 101 Single Family Houses,New,No,705 LYDIA ST,RESOLUTION 20071129100 WAIVES FEES FOR THIS SMART HOUSING PROJECT new SFR 2 story with attached accessory apartment  new 325 2 story res with attached accessory apartment,0205070701,S 50FT OF LOT 1011 BLK 1 OLT 4 DIVISION B,2017/07/07,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/05/13,,,,2154,,,2,1,,,,,,,,,,,705 LYDIA ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11814547,11814547,30.26545386,-97.72852685,"(30.26545386, -97.72852685)"
EP,Electrical Permit,2017-136156 EP,R- 434 Addition & Alterations,Addition and Remodel,No,3804 ROCKLEDGE DR,Partial Demo roof over garage Second Master Suite addition over existing garage  Renovate existing bathrooms  Extend utility room into existing garage,0138040222,LOT 23 BLK N NORTHWEST HILLS SEC 8,2017/10/04,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/05/29,,3265,0,856,,,2,1,,,,$1000.00,,,,,,,3804 ROCKLEDGE DR,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11814472,11814472,30.35419106,-97.76232193,"(30.35419106, -97.76232193)"
BP,Building Permit,2017-136146 BP,R- 101 Single Family Houses,New,No,2513 E 10TH ST,New 768 sf 1 bedroom 1 bathroom 1story SFR with attached uncovered wood deck Existing sidewalk See PR attachments concerning driveway alley access,0205100907,LOT 7 BLK 13 GRANDVIEW PLACE,2017/09/27,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,768,,$350000.00,1,1,,,,,,,,,,,2513 E 10TH ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11814427,11814427,30.26581173,-97.71410702,"(30.26581173, -97.71410702)"
PP,Plumbing Permit,2017-136013 PP,"C- 324 Office, Bank & Professional Bldgs",Shell,No,1400 LAVACA ST,New Construction of an Office Shell Building,0210022012,LOT A RESUB OF LTS 16 BLOCK 175 ORIGINAL CITY TOTAL SQ FT 35328,2017/03/03,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/04/28,,,,149000,,,8,1,,,,,,,$2813390.00,$500000.00,,,1400 LAVACA ST,AUSTIN,TX,78701,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11814272,11814272,30.27711097,-97.74269382,"(30.27711097, -97.74269382)"
MP,Mechanical Permit,2017-134001 MP,R- 101 Single Family Houses,New,No,202 VIRTUS BND,New 1story Condominium Residence with attached garage covered porch  VOL BUILD PROJECT CONDOMINIUM RESIDENCE,0428090801,,2017/10/20,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/06/02,,,,1377,,,1,1,,,,,,,,,,,202 VIRTUS BND,AUSTIN,TX,78748,2,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11811837,11811837,30.17833145,-97.78730794,"(30.17833145, -97.78730794)"
MP,Mechanical Permit,2017-133316 MP,R- 101 Single Family Houses,New,No,204 VIRTUS BND,New 1story Condominium Residence with attached garage covered porch,0428090801,,2017/10/18,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/06/02,,,,1649,,,1,1,,,,,,,,,,,204 VIRTUS BND,AUSTIN,TX,78748,2,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11811014,11811014,30.17843907,-97.78718798,"(30.17843907, -97.78718798)"
MP,Mechanical Permit,2017-132389 MP,R- 434 Addition & Alterations,Addition and Remodel,No,3304 KERBEY LN,Partial Demo AdditionExtension of first floor and rear porch and addition of second floor 4 bed3 bath,0119000614,N 43 FT OF LOT 13  S 9 FT OF LOT 14 BLK 1 WOODS ADDN,2017/08/30,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/04,,1548,1135,1430,,,2,1,,,,,,$2500.00,,,,,3304 KERBEY LN,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11809901,11809901,30.30521679,-97.75183209,"(30.30521679, -97.75183209)"
EP,Electrical Permit,2017-132197 EP,R- 101 Single Family Houses,New,No,1225 HILLSIDE AVE UNIT 6,Unit 6  New 2story Condominium Residence with attached garage covered porches patio and mezzanine   CONDOMINIUM RESIDENCE,0300011226,S90FT BLK 17 FAIRVIEW PARK,2017/08/28,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/05/20,,,,2664,,,2,1,,,,,,,,,,,1225 HILLSIDE AVE UNIT 6,AUSTIN,TX,78704,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11809696,11809696,30.2503865,-97.74571392,"(30.2503865, -97.74571392)"
EP,Electrical Permit,2017-132189 EP,R- 101 Single Family Houses,New,No,1225 HILLSIDE AVE UNIT 4,Unit  4 New 2story Condominium Residence with attached garage covered porches patio and mezzanine   CONDOMINIUM RESIDENCE,0300011226,S90FT BLK 17 FAIRVIEW PARK,2017/08/28,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/05/20,,,,3168,,,2,1,,,,,,,,,,,1225 HILLSIDE AVE UNIT 4,AUSTIN,TX,78704,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11809661,11809661,30.2503865,-97.74571392,"(30.2503865, -97.74571392)"
EP,Electrical Permit,2017-132184 EP,R- 101 Single Family Houses,New,No,1225 HILLSIDE AVE UNIT 5,Unit  5 New 2story Condominium Residence with attached garage covered porches patio and mezzanine   CONDOMINIUM RESIDENCE,0300011226,S90FT BLK 17 FAIRVIEW PARK,2017/08/28,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/05/20,,,,3258,,,2,1,,,,,,,,,,,1225 HILLSIDE AVE UNIT 5,AUSTIN,TX,78704,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11809650,11809650,30.2503865,-97.74571392,"(30.2503865, -97.74571392)"
MP,Mechanical Permit,2017-130485 MP,R- 101 Single Family Houses,New,No,9932 DALLIANCE LN,New 2story singlefamily residence attached garage covered entry porch and patio,0219621220,LOT 8 BLK K WHISPER VALLEY VILLAGE 1 PHS 1,2017/10/12,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,2757,,,2,1,,,,,,,,,,,9932 DALLIANCE LN,AUSTIN,TX,78653,1,AUSTIN LTD,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11807476,11807476,30.29798056,-97.55301178,"(30.29798056, -97.55301178)"
MP,Mechanical Permit,2017-129683 MP,R- 330  Accessory Use to Primary,New,No,2021 CUEVA DE ORO CV,New 1story detached pool house with a half bathroom and a shower on opposite ends,0105190207,LOT 1 BLK A PRESERVE AT LOST GOLD CAVE PHS II THE,2017/08/07,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/05/15,,,,130,,,1,1,,,,,,,,,,,2021 CUEVA DE ORO CV,AUSTIN,TX,78746,8,AUSTIN LTD,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11806607,11806607,30.2664729,-97.81275482,"(30.2664729, -97.81275482)"
MP,Mechanical Permit,2017-129682 MP,R- 434 Addition & Alterations,Addition and Remodel,No,2021 CUEVA DE ORO CV,Partial demolition Primary Structure Scope AdditionRemodel to existing 2story SFR to replace existing attached covered patio with new attached covered patio Removereplace all exterior stone veneers Removereplace concrete tile roof with metal roof Removereplace 80 of interior finishes Within attic footprint add exercise room and an addition bedroom and additional bathroom Remodel existing master bathroom counter Replace existing stone patio sidewalk with new material Removereplace all exterior doors and windows with new,0105190207,LOT 1 BLK A PRESERVE AT LOST GOLD CAVE PHS II THE,2017/08/07,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/05/15,,7819,1155,1366,,,2,1,,,,,,$30000.00,,,,,2021 CUEVA DE ORO CV,AUSTIN,TX,78746,8,AUSTIN LTD,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11806604,11806604,30.2664729,-97.81275482,"(30.2664729, -97.81275482)"
PP,Plumbing Permit,2017-127842 PP,R- 329 Res Structures Other Than Bldg,New,No,11117 COMISO PALA PATH,Inground Swimming Pool wreq'd enclosure device and Fire pit gas for existing 2 story SF res,0168230920,LOT 44 BLK E CANYON CREEK SEC 19A,2017/09/22,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/06/25,,,,308,,,0,1,,,,,,,,,,,11117 COMISO PALA PATH,AUSTIN,TX,78726,6,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11804440,11804440,30.434472,-97.82873462,"(30.434472, -97.82873462)"
PP,Plumbing Permit,2017-126431 PP,R- 101 Single Family Houses,New,No,4301 BERKMAN DR,Unit 5  New 2story Condominium Residence with attached garage covered porches and patio  SMART HOUSING  CONDO RESIDENCE,0217162901,LOT 2 BLK 75 MUELLER SEC IX SUBD AMD PRORATE 5216 TO 123116,2017/09/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/04,,,,2337,,,2,1,,,,,,,,,,,4301 BERKMAN DR,AUSTIN,TX,78723,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11802838,11802838,30.29591026,-97.69981365,"(30.29591026, -97.69981365)"
PP,Plumbing Permit,2017-126430 PP,R- 101 Single Family Houses,New,No,4301 BERKMAN DR,Unit 4  New 2story Condominium Residence with attached garage covered porches and patio  SMART HOUSING  CONDO RESIDENCE,0217162901,LOT 2 BLK 75 MUELLER SEC IX SUBD AMD PRORATE 5216 TO 123116,2017/09/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/04,,,,1576,,,2,1,,,,,,,,,,,4301 BERKMAN DR,AUSTIN,TX,78723,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11802835,11802835,30.29591026,-97.69981365,"(30.29591026, -97.69981365)"
PP,Plumbing Permit,2017-126429 PP,R- 101 Single Family Houses,New,No,4301 BERKMAN DR,Unit 3  New 2story Condominium Residence with attached garage covered porches and patio  SMART HOUSING  CONDO RESIDENCE,0217162901,LOT 2 BLK 75 MUELLER SEC IX SUBD AMD PRORATE 5216 TO 123116,2017/09/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/04,,,,1859,,,2,1,,,,,,,,,,,4301 BERKMAN DR,AUSTIN,TX,78723,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11802832,11802832,30.29591026,-97.69981365,"(30.29591026, -97.69981365)"
MP,Mechanical Permit,2017-125498 MP,R- 101 Single Family Houses,New,No,7313 COIT RD,New 1story singlefamily residence attached garage covered porch and patioVOL BUILD GOLD CARD,0334100403,LOT 15 BLK C EASTON PARK SEC 1C,2017/10/03,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/08,,,,2558,,,1,1,,,,,,,,,,,7313 COIT RD,AUSTIN,TX,78744,2,AUSTIN LTD,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11801709,11801709,30.15867277,-97.71547864,"(30.15867277, -97.71547864)"
MP,Mechanical Permit,2017-125495 MP,R- 101 Single Family Houses,New,No,7912 BEACON KNOB WAY,New 1story singlefamily residence attached garage covered porch and patio,0334130220,LOT 21 BLK A EASTON PARK SEC 1C,2017/10/03,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,3353,,,1,1,,,,,,,,,,,7912 BEACON KNOB WAY,AUSTIN,TX,78744,2,AUSTIN LTD,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11801704,11801704,30.1581241,-97.7129932,"(30.1581241, -97.7129932)"
MP,Mechanical Permit,2017-124699 MP,R- 434 Addition & Alterations,Addition and Remodel,No,1808 VANCE CIR,Interior remodel  Install concealed beam in kitchen and master bath  Raise ceiling in entry and dining and bedroom hall   Replace exterior doors  MEP upgrades,0112000321,LOT B 1ST RESUB OF LOT 1516 VANCE PARK,2017/07/21,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/04/11,,0,1957,1957,,,1,1,,,,,,$7200.00,,,,,1808 VANCE CIR,AUSTIN,TX,78701,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11800782,11800782,30.28323862,-97.75045508,"(30.28323862, -97.75045508)"
EP,Electrical Permit,2017-124675 EP,C-1000 Commercial Remodel,Remodel,No,12012 N MOPAC EXPY SB,INTERIOR REMODEL TO EXISTING OFFICE SPACE,0260080502,LOT 2 STONECREEK RETAIL SUBD,2017/07/27,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/02/18,,,3425,,,,2,1,,,,$3000.00,,,,,,,12012 N MOPAC EXPY SB,AUSTIN,TX,78759,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11800719,11800719,30.40980519,-97.71482754,"(30.40980519, -97.71482754)"
BP,Building Permit,2017-121629 BP,R- 645 Demolition One Family Homes,Demolition,No,2709 E 14TH ST,Total demolition of existing SFR and detached shed less than 200sqft built 1985,0210120136,LOT 3 BLK 11 OLT 30 DIV B WESTLING ADDN,2017/09/25,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2020/01/10,,0,,,,$0.00,1,1,,,,,,,,,,,2709 E 14TH ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11797235,11797235,30.27683828,-97.71157064,"(30.27683828, -97.71157064)"
MP,Mechanical Permit,2017-120834 MP,R- 101 Single Family Houses,New,No,12505 MORELIA WAY,Unit285 New 2story Condominium Residence with attached garage covered porch and patio  CONDOMINIUM RESIDENCE,0449150901,,2017/08/25,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/03/25,,,,4416,,,2,1,,,,,,,,,,,12505 MORELIA WAY,AUSTIN,TX,78652,5,AUSTIN LTD,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11796352,11796352,30.12304493,-97.80755005,"(30.12304493, -97.80755005)"
MP,Mechanical Permit,2017-119750 MP,R- 101 Single Family Houses,New,No,12509 MORELIA WAY,New 1story Condominium Residence with attached garage covered porch and patio  CONDOMINIUM RESIDENCE,0449150901,,2017/08/25,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/03/21,,,,2842,,,1,1,,,,,,,,,,,12509 MORELIA WAY,AUSTIN,TX,78652,5,AUSTIN LTD,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11795114,11795114,30.12287912,-97.8079277,"(30.12287912, -97.8079277)"
MP,Mechanical Permit,2017-116256 MP,R- 102 Secondary Apartment,New,No,1142 ELEANOR ST,1story 2 bedroom 2 bathroom Secondary Dwelling with covered porch and covered parking,0208210608,LOT 34 BLK 3 GREEN VALLEY NO 1,2017/07/26,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/07,,,,1381,,,1,1,,,,,,,,,,,1142 ELEANOR ST,AUSTIN,TX,78721,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11791136,11791136,30.27343843,-97.6797507,"(30.27343843, -97.6797507)"
MP,Mechanical Permit,2017-116255 MP,R- 101 Single Family Houses,New,No,1142 ELEANOR ST,New 3 bedroom 25 bathroom 2story singlefamily residence with attached garage covered porch covereduncovered patio,0208210608,LOT 34 BLK 3 GREEN VALLEY NO 1,2017/07/26,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/07,,,,2063,,,2,1,,,,,,,,,,,1142 ELEANOR ST,AUSTIN,TX,78721,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11791133,11791133,30.27343843,-97.6797507,"(30.27343843, -97.6797507)"
EP,Electrical Permit,2017-113794 EP,R- 102 Secondary Apartment,New,No,4902 GLADEVIEW DR,partial democonverting detached garage into ADU Removing canopy in rear of residence ADU allowed to encroach into rear setback BOA 16000047,0410120118,LOT 24 BLK I PARK FOREST SEC 6,2016/08/24,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,979,,,1,1,,,,,,,,,,,4902 GLADEVIEW DR,AUSTIN,TX,78745,5,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11788243,11788243,30.22066329,-97.78824112,"(30.22066329, -97.78824112)"
MP,Mechanical Permit,2017-108734 MP,R- 101 Single Family Houses,New,No,12260 ABBEY GLEN LN,UNIT 504  New 1story Condominium Residence with attached garage covered porch attached storage closet  CONDOMINIUM RESIDENCE,0252282101,,2017/06/16,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/04/24,,,,981,,,1,1,,,,,,,,,,,12260 ABBEY GLEN LN,AUSTIN,TX,78753,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11782314,11782314,30.38937114,-97.65809582,"(30.38937114, -97.65809582)"
MP,Mechanical Permit,2017-108733 MP,R- 101 Single Family Houses,New,No,12264 ABBEY GLEN LN,UNIT 503  New 2story Condominium Residence with covered porch attached storage closet  CONDOMINIUM RESIDENCE,0252280937,49723 ACR OF LOT 1 BLK A COPPERFIELD SEC 2G,2017/06/16,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/04/24,,,,716,,,2,1,,,,,,,,,,,12264 ABBEY GLEN LN,AUSTIN,TX,78753,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11782311,11782311,30.38943088,-97.65805926,"(30.38943088, -97.65805926)"
MP,Mechanical Permit,2017-108732 MP,R- 101 Single Family Houses,New,No,12268 ABBEY GLEN LN,UNIT 502  New 2story Condominium Residence with attached garage covered porch attached storage closet  CONDOMINIUM RESIDENCE,0252280937,49723 ACR OF LOT 1 BLK A COPPERFIELD SEC 2G,2017/06/16,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/04/24,,,,916,,,2,1,,,,,,,,,,,12268 ABBEY GLEN LN,AUSTIN,TX,78753,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11782308,11782308,30.38946314,-97.65802347,"(30.38946314, -97.65802347)"
MP,Mechanical Permit,2017-108731 MP,R- 101 Single Family Houses,New,No,12272 ABBEY GLEN LN,UNIT 501  New 1story Condominium Residence with attached garage covered porch attached storage closet  CONDOMINIUM RESIDENCE,0252280937,49723 ACR OF LOT 1 BLK A COPPERFIELD SEC 2G,2017/06/16,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/04/24,,,,1775,,,1,1,,,,,,,,,,,12272 ABBEY GLEN LN,AUSTIN,TX,78753,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11782305,11782305,30.38953329,-97.65795807,"(30.38953329, -97.65795807)"
MP,Mechanical Permit,2017-108244 MP,R- 101 Single Family Houses,New,No,12292 MULLIGAN GLEN CT,UNIT 404  New 1story Condominium Residence with attached garage covered porch attached storage closet  CONDOMINIUM RESIDENCE,0252280937,49723 ACR OF LOT 1 BLK A COPPERFIELD SEC 2G,2017/06/16,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/05/08,,,,1388,,,1,1,,,,,,,,,,,12292 MULLIGAN GLEN CT,AUSTIN,TX,78753,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11781715,11781715,30.38980682,-97.65775378,"(30.38980682, -97.65775378)"
MP,Mechanical Permit,2017-108243 MP,R- 101 Single Family Houses,New,No,12288 MULLIGAN GLEN CT,UNIT 403  New 2story Condominium Residence with attached garage covered porch attached storage closet  CONDOMINIUM RESIDENCE,0252280937,49723 ACR OF LOT 1 BLK A COPPERFIELD SEC 2G,2017/06/16,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/05/08,,,,916,,,2,1,,,,,,,,,,,12288 MULLIGAN GLEN CT,AUSTIN,TX,78753,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11781712,11781712,30.38975009,-97.65780294,"(30.38975009, -97.65780294)"
MP,Mechanical Permit,2017-108242 MP,R- 101 Single Family Houses,New,No,12284 MULLIGAN GLEN CT,UNIT 402  New 2story Condominium Residence with covered porch attached storage closet  CONDOMINIUM RESIDENCE,0252280937,49723 ACR OF LOT 1 BLK A COPPERFIELD SEC 2G,2017/06/16,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/05/08,,,,716,,,2,1,,,,,,,,,,,12284 MULLIGAN GLEN CT,AUSTIN,TX,78753,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11781709,11781709,30.38969859,-97.65783927,"(30.38969859, -97.65783927)"
MP,Mechanical Permit,2017-108241 MP,R- 101 Single Family Houses,New,No,12280 MULLIGAN GLEN CT,UNIT 401  New 1story Condominium Residence with attached garage covered porch attached storage closet  CONDOMINIUM RESIDENCE,0252280937,49723 ACR OF LOT 1 BLK A COPPERFIELD SEC 2G,2017/06/16,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/05/08,,,,1775,,,1,1,,,,,,,,,,,12280 MULLIGAN GLEN CT,AUSTIN,TX,78753,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11781706,11781706,30.38965566,-97.65789122,"(30.38965566, -97.65789122)"
MP,Mechanical Permit,2017-107811 MP,R- 103 Two Family Bldgs,New,No,807 E 16TH ST,New Duplex with attached garage,0209060604,W 70' OF LOT 67  N 18' OF W 70' OF LOT 8 BLK A OLT 42 DIV B RECTORS SUBD,2017/07/12,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/05/16,,,,3965,,,2,2,,,,,,,,,,,807 E 16TH ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11781134,11781134,30.27591529,-97.73010781,"(30.27591529, -97.73010781)"
MP,Mechanical Permit,2017-107506 MP,R- 101 Single Family Houses,New,No,2409 CHAMBRAY CT,New 1story Condominium Residence with attached garage covered porch and patio  CONDOMINIUM RESIDENCE,0438301801,,2017/07/26,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/06/03,,,,2198,,,1,1,,,,,,,,,,,2409 CHAMBRAY CT,AUSTIN,TX,78748,8,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11780713,11780713,30.14631114,-97.85078592,"(30.14631114, -97.85078592)"
MP,Mechanical Permit,2017-104900 MP,R- 101 Single Family Houses,New,No,12508 MORELIA WAY,New 2story Condominium Residence with attached garage covered porch and patio CONDOMINIUM RESIDENCE,0449150901,,2017/07/28,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/06/20,,,,4131,,,2,1,,,,,,,,,,,12508 MORELIA WAY,AUSTIN,TX,78652,5,AUSTIN LTD,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11777606,11777606,30.12323715,-97.80823156,"(30.12323715, -97.80823156)"
MP,Mechanical Permit,2017-099691 MP,R- 101 Single Family Houses,New,No,13804 HARRISGLENN DR,New 2story singlefamily residence attached garage covered entry porch and patio  PRODUCTION BUILDER,0260330930,LOT 3 BLK G FORT DESSAU PHS 3,2017/07/31,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/05/06,,,,2634,,,2,1,,,,,,,,,,,13804 HARRISGLENN DR,AUSTIN,TX,78660,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11771511,11771511,30.4104633,-97.64018127,"(30.4104633, -97.64018127)"
